Date,Fund,Close
2016-03-08,AIR.NZ,2.9000
2016-03-09,AIR.NZ,2.8350
2016-03-10,AIR.NZ,2.7900
2016-03-13,AIR.NZ,2.7550
2016-03-14,AIR.NZ,2.7500
2016-03-15,AIR.NZ,2.7700
2016-03-16,AIR.NZ,2.7700
2016-03-17,AIR.NZ,2.8400
2016-03-20,AIR.NZ,2.8700
2016-03-21,AIR.NZ,2.8800
2016-03-22,AIR.NZ,2.8950
2016-03-23,AIR.NZ,2.8600
2016-03-28,AIR.NZ,2.8500
2016-03-29,AIR.NZ,2.8600
2016-03-30,AIR.NZ,2.8600
2016-03-31,AIR.NZ,2.8450
2016-04-03,AIR.NZ,2.8500
2016-04-04,AIR.NZ,2.8800
2016-04-05,AIR.NZ,2.9450
2016-04-06,AIR.NZ,3.0300
2016-04-07,AIR.NZ,3.0400
2016-04-10,AIR.NZ,3.0300
2016-04-11,AIR.NZ,3.0100
2016-04-12,AIR.NZ,3.0200
2016-04-13,AIR.NZ,3.0200
2016-04-14,AIR.NZ,3.0000
2016-04-17,AIR.NZ,2.8600
2016-04-18,AIR.NZ,2.8850
2016-04-19,AIR.NZ,2.9400
2016-04-20,AIR.NZ,2.8900
2016-04-21,AIR.NZ,2.7800
2016-04-25,AIR.NZ,2.7050
2016-04-26,AIR.NZ,2.6400
2016-04-27,AIR.NZ,2.5600
2016-04-28,AIR.NZ,2.4600
2016-05-01,AIR.NZ,2.5100
2016-05-02,AIR.NZ,2.6100
2016-05-03,AIR.NZ,2.4700
2016-05-04,AIR.NZ,2.4450
2016-05-05,AIR.NZ,2.3600
2016-05-08,AIR.NZ,2.3000
2016-05-09,AIR.NZ,2.3600
2016-05-10,AIR.NZ,2.3700
2016-05-11,AIR.NZ,2.2800
2016-05-12,AIR.NZ,2.2600
2016-05-15,AIR.NZ,2.2800
2016-05-16,AIR.NZ,2.2800
2016-05-17,AIR.NZ,2.2600
2016-05-18,AIR.NZ,2.2300
2016-05-19,AIR.NZ,2.1800
2016-05-22,AIR.NZ,2.1200
2016-05-23,AIR.NZ,2.0600
2016-05-24,AIR.NZ,2.0200
2016-05-25,AIR.NZ,2.0900
2016-05-26,AIR.NZ,2.1300
2016-05-29,AIR.NZ,2.2150
2016-05-30,AIR.NZ,2.2500
2016-05-31,AIR.NZ,2.2200
2016-06-01,AIR.NZ,2.1900
2016-06-02,AIR.NZ,2.2100
2016-06-06,AIR.NZ,2.1400
2016-06-07,AIR.NZ,2.1900
2016-06-08,AIR.NZ,2.1700
2016-06-09,AIR.NZ,2.2200
2016-06-12,AIR.NZ,2.1750
2016-06-13,AIR.NZ,2.0800
2016-06-14,AIR.NZ,2.1200
2016-06-15,AIR.NZ,2.1400
2016-06-16,AIR.NZ,2.0700
2016-06-19,AIR.NZ,2.0900
2016-06-20,AIR.NZ,2.0900
2016-06-21,AIR.NZ,2.0800
2016-06-22,AIR.NZ,2.1200
2016-06-23,AIR.NZ,2.0800
2016-06-26,AIR.NZ,2.0250
2016-06-27,AIR.NZ,2.0500
2016-06-28,AIR.NZ,2.0500
2016-06-29,AIR.NZ,2.0950
2016-06-30,AIR.NZ,2.0900
2016-07-03,AIR.NZ,2.1100
2016-07-04,AIR.NZ,2.1500
2016-07-05,AIR.NZ,2.1650
2016-07-06,AIR.NZ,2.1400
2016-07-07,AIR.NZ,2.1450
2016-07-10,AIR.NZ,2.1500
2016-07-11,AIR.NZ,2.1600
2016-07-12,AIR.NZ,2.1750
2016-07-13,AIR.NZ,2.2300
2016-07-14,AIR.NZ,2.2550
2016-07-17,AIR.NZ,2.2650
2016-07-18,AIR.NZ,2.2300
2016-07-19,AIR.NZ,2.1800
2016-07-20,AIR.NZ,2.1700
2016-07-21,AIR.NZ,2.1500
2016-07-24,AIR.NZ,2.1500
2016-07-25,AIR.NZ,2.1750
2016-07-26,AIR.NZ,2.1600
2016-07-27,AIR.NZ,2.1900
2016-07-28,AIR.NZ,2.2100
2016-07-31,AIR.NZ,2.2600
2016-08-01,AIR.NZ,2.3300
2016-08-02,AIR.NZ,2.3050
2016-08-03,AIR.NZ,2.2750
2016-08-04,AIR.NZ,2.2800
2016-08-07,AIR.NZ,2.2850
2016-08-08,AIR.NZ,2.2700
2016-08-09,AIR.NZ,2.2250
2016-08-10,AIR.NZ,2.2300
2016-08-11,AIR.NZ,2.2000
2016-08-14,AIR.NZ,2.1800
2016-08-15,AIR.NZ,2.1900
2016-08-16,AIR.NZ,2.2000
2016-08-17,AIR.NZ,2.2500
2016-08-18,AIR.NZ,2.2250
2016-08-21,AIR.NZ,2.2300
2016-08-22,AIR.NZ,2.2200
2016-08-23,AIR.NZ,2.2200
2016-08-24,AIR.NZ,2.2300
2016-08-25,AIR.NZ,2.2200
2016-08-28,AIR.NZ,2.2750
2016-08-29,AIR.NZ,2.2700
2016-08-30,AIR.NZ,2.2600
2016-08-31,AIR.NZ,2.2600
2016-09-01,AIR.NZ,2.2750
2016-09-04,AIR.NZ,2.3500
2016-09-05,AIR.NZ,2.3850
2016-09-06,AIR.NZ,2.4100
2016-09-07,AIR.NZ,2.0600
2016-09-08,AIR.NZ,2.0450
2016-09-11,AIR.NZ,1.9350
2016-09-12,AIR.NZ,1.9850
2016-09-13,AIR.NZ,1.9350
2016-09-14,AIR.NZ,1.9300
2016-09-15,AIR.NZ,1.9400
2016-09-18,AIR.NZ,1.9500
2016-09-19,AIR.NZ,1.9550
2016-09-20,AIR.NZ,1.8900
2016-09-21,AIR.NZ,1.8750
2016-09-22,AIR.NZ,1.8200
2016-09-25,AIR.NZ,1.8000
2016-09-26,AIR.NZ,1.8500
2016-09-27,AIR.NZ,1.8750
2016-09-28,AIR.NZ,1.8600
2016-09-29,AIR.NZ,1.8600
2016-10-02,AIR.NZ,1.8200
2016-10-03,AIR.NZ,1.7900
2016-10-04,AIR.NZ,1.7950
2016-10-05,AIR.NZ,1.7700
2016-10-06,AIR.NZ,1.7700
2016-10-09,AIR.NZ,1.7800
2016-10-10,AIR.NZ,1.7700
2016-10-11,AIR.NZ,1.8000
2016-10-12,AIR.NZ,1.7150
2016-10-13,AIR.NZ,1.7450
2016-10-16,AIR.NZ,1.7550
2016-10-17,AIR.NZ,1.8000
2016-10-18,AIR.NZ,1.8150
2016-10-19,AIR.NZ,1.8050
2016-10-20,AIR.NZ,1.8400
2016-10-24,AIR.NZ,1.9100
2016-10-25,AIR.NZ,1.9250
2016-10-26,AIR.NZ,1.9200
2016-10-27,AIR.NZ,1.9300
2016-10-30,AIR.NZ,1.9300
2016-10-31,AIR.NZ,1.9200
2016-11-01,AIR.NZ,1.9200
2016-11-02,AIR.NZ,1.9000
2016-11-03,AIR.NZ,1.8700
2016-11-06,AIR.NZ,1.9250
2016-11-07,AIR.NZ,1.9300
2016-11-08,AIR.NZ,1.8900
2016-11-09,AIR.NZ,1.9100
2016-11-10,AIR.NZ,1.9350
2016-11-13,AIR.NZ,1.9450
2016-11-14,AIR.NZ,1.9700
2016-11-15,AIR.NZ,2.0000
